DOCTYPE;Konstant: ORDRSP
VERSION;Konstant: 001
ORDRSPID;SellerOrderResponseID
ORDRSPDATE;IssuedDateTime
ORDERID;BuyerOrderID
ORDERDATE;IssuedDateTime
ORDRSPTEXT1;OrderResponseAdditionalText1
ORDRSPEXT2;OrderResponseAdditionalText2
SELLERGLN;SellerParty Global ID
SELLERID;SellerParty ID
SELLERNAME1;SellerParty Name1
SELLERNAME2;SellerParty Name2
SELLERNAME3;SellerParty Name3
SELLERSTREET;SellerParty Street
SELLERPOSTCODE;SellerParty Postcode
SELLERCITY;SellerParty CityName
SELLERCOUNTRYID;SellerPartyCountryID
SELLERADDRTOTAL;SellerParty AddressTotal
SELLERCONTACT;SellerParty Contact
SELLERPHONE;SellerParty Phone
SELLERFAX;SellerParty Fax
SELLEREMAIL;SellerParty Email
BUYERGLN;BuyerParty Global ID
BUYERID;BuyerParty ID
BUYERNAME1;BuyerParty Name1
BUYERNAME2;BuyerParty Name2
BUYERNAME3;BuyerParty Name3
BUYERSTREET;BuyerParty Street
BUYERPOSTCODE;BuyerParty Postcode
BUYERCITY;BuyerParty CityName
BUYERCOUNTRYID;BuyerPartyCountryID
BUYERADDRTOTAL;BuyerParty AddressTotal
BUYERCONTACT;BuyerParty Contact
BUYERPHONE;BuyerParty Phone
BUYERFAX;BuyerParty Fax
BUYEREMAIL;BuyerParty Email
SHIPTOGLN;ShipTo Global ID
SHIPTOID;ShipTo ID
SHIPTONAME1;ShipTo Name1
SHIPTONAME2;ShipTo Name2
SHIPTONAME3;ShipTo Name3
SHIPTOSTREET;ShipTo Street
SHIPTOPOSTCODE;ShipTo Postcode
SHIPTOCITY;ShipTo CityName
SHIPTOCOUNTRYID;ShipTo CountryID
SHIPTOADDRTOTAL;ShipTo AddressTotal
INVOICGLN;Invoicee Global ID
INVOICID;Invoicee ID
INVOICNAME1;Invoicee Name1
INVOICNAME2;Invoicee Name2
INVOICNAME3;Invoicee Name3
INVOICSTREET;Invoicee Street
INVOICPOSTCODE;Invoicee Postcode
INVOICCITY;Invoicee CityName
INVOICCOUNTRYID;Invoicee Country
INVOICADDRTOTAL;Invoicee AddressTotal
CURRENCY;OrderCurrency
BUYERREF;BuyerParty Reference
DELIVTERMS;DeliveryTerms
PAYMENTTERMS;PaymentTerms
DELIVERYDATE;ApprovedDeliveryDate
TOTALAMOUNT;TotalMonetaryAmount WoVAT
COUNTITEMS;CountItems
FREE01;FutureUseLine01
FREE02;FutureUseLine02
FREE03;FutureUseLine03
FREE04;FutureUseLine04
LINENUMBER;LineNumber
PRODSELLERID;Product SellerAssignedID
PRODBUYERID;Product BuyerAssignedID
GTIN;Product GlobalID
PRODMANUFID;Product ManufacturerAssignedID
PRODNAMESELLER;Product SellerAssignedName
PRODNAMEBUYER;Product BuyerAssignedName
ITEMTEXT1;LineItem AdditionalText1
ITEMTEXT2;LineItem AdditionalText2
ORDRSPQUANTITY;Approved Quantity
ORDRSPQUANTITYUNIT;Approved Quantity UnitCode
PACKAGEQUANTITY;Package Quantity
PACKAGEQUANTITYUNIT;Package Quantity UnitCode
PACKAGEQUANTITYINFO;Package Information
ITEMDELIVDATE;LineItem RequestedDeliveryDate
UNITPRICE;Product Unit Price
UNITPRICEUNIT;Product Unit Price UnitCode
ITEMAMOUNT;LineItem Amount
ITEMSTORAGE;LineItem StorageID
ITEMDELIVPLACE;LineItem DeliveryPlace
REFORDERID;BuyerOrderReferencedDocumentIssuerAssignedID
REFORDERIDPOS;BuyerOrderReferencedDocumentLineID
REFORDERDATE;BuyerOrderReferencedDocumentIssuedDateTime
ITEMTAXCODE;LineItemTaxCode
ITEMTAXPERCENT;LineItemTaxPercent
ITEMTAXAMOUNT;LIneItemTaxAmount
ACTION;Action
QUANTITYDIFFERENCE;Quantity Difference
REASONDIFFERENCE;Reason for Difference
FREEPOS01;FutureUseLine01
FREEPOS02;FutureUseLine02
FREEPOS03;FutureUseLine03